	PC1	PC2	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14
Site1	-0.150681781	-1.801137459	0.029874458	0.150650961	0.114828735	0.000116243	0.084450558	0.196101984	0.033342374	0.029254495	0.151154681	7.75E-05	0.003177309	0.014724117	0.005385927	0.002344234
Site2	-1.338671855	1.307124495	0.793171736	0.002138783	0.000633714	0.000792142	0.005228137	0.000158428	0.000633714	0.000158428	0.000158428	0	0.061787072	0.006337136	0	0.001188213
Site3	1.382444366	0.284304141	0.19305467	0.105107542	0.185315091	2.90E-05	0	0.014029799	0.049539104	0.005797438	0.185894834	0.009942605	0.001246449	0.000521769	0.02391443	2.90E-05
Site4	0.242580773	0.274215739	0.095163807	0.015600624	0	0	0	0	0.276131045	0	0	0	0.007800312	0	0.010920437	0.014040562
Site5	-1.097383297	0.824245621	0.060955269	0.008491281	0.007733131	0.044275967	0.072175891	0.032903715	0.039423806	0.031690675	0.157088704	0	0.049128127	0.024564064	0.080667172	0.089310083
Site6	0.49842283	-0.687069325	0.00568451	0.135480815	0.230222643	0.007816201	0.004500237	0.160350545	0.028422549	0.01918522	0.000473709	0.016816675	0.014684983	0.018948366	0.033396495	0.006395073
Site7	1.252175434	0.749652487	0.136473259	0.134770889	0.007235069	0.000141864	0	0.004397787	0.276918712	0.00070932	0.006525748	0.001134913	0.022272663	0.059724784	0.028230955	0.002553554
Site8	-0.469059106	-0.042905474	0.005370569	0.001074114	0	0	0	0	0	0	0	0	0	0	0	0
Site9	0.477629129	0.062655854	0.017345704	0.000806777	0	0.000403388	0	0.000806777	0.121016539	0	0	0	0.000403388	0	0.028237192	0.008471158
Site10	-0.444611847	-0.294319902	0.037664783	0.077212806	0	0	0.007532957	0.011299435	0.280602637	0	0.009416196	0	0	0.011299435	0.02259887	0
Site11	-0.00549455	0.005709286	7.70E-05	0.015625	0	0.000384852	7.70E-05	7.70E-05	0.000846675	0	0	0.000307882	0	0	0.000153941	0.000153941
Site12	-0.078388536	0.021205801	0.000635223	0.002699698	0.000476417	0	0	0.000794029	0.000794029	0.000317612	0.000158806	0.000158806	0	0.000158806	0	0
Site13	-0.628253385	-1.509191898	0.003912363	0	0.000260824	0	0	0.000260824	0.002086594	0	0	0	0	0	0.000260824	0.000260824
Site14	-0.613585399	-0.224557604	0.029850746	0	0.007462687	0	0	0.007462687	0.007462687	0	0	0	0.007462687	0	0	0
Site15	-0.511256832	-0.734689313	0.177682403	0.027467811	0.001716738	0	0.003433476	0.02832618	0.227467811	0.000858369	0.022317597	0	0.001716738	0.066094421	0.027467811	0
Site16	-0.572423855	-1.045900336	0.032224532	0.086278586	0.040540541	0	0	0.037422037	0.021829522	0.007276507	0.016632017	0.001039501	0.006237006	0	0.001039501	0
